ID,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
25382,25,25,5/12/2018,31-025,ORL,,DEN,L (-6),1,30:57:00,3,4,0.75,2,3,0.667,0,0,,0,0,0,5,0,0,0,2,8,9.1,-5
25382,26,26,7/12/2018,31-027,ORL,,IND,L (-22),1,22:20,2,6,0.333,1,3,0.333,0,0,,0,0,0,2,0,0,2,0,5,1,-13
25382,27,27,10/12/2018,31-030,ORL,@,DAL,L (-25),1,24:34:00,3,8,0.375,0,3,0,0,0,,1,2,3,2,0,0,3,1,6,0.9,-17
25382,28,28,13/12/2018,31-033,ORL,,CHI,W (+6),1,32:36:00,4,8,0.5,3,5,0.6,4,4,1,0,7,7,2,0,0,1,2,15,12.7,8
25382,29,29,15/12/2018,31-035,ORL,,UTA,W (+7),1,34:16:00,4,8,0.5,2,3,0.667,1,2,0.5,0,2,2,5,0,0,4,2,11,5.9,7
25382,30,30,19/12/2018,31-039,ORL,,SAS,L (-39),1,24:07:00,6,10,0.6,3,5,0.6,2,2,1,0,1,1,2,0,0,0,0,17,14.1,-20
25382,31,31,21/12/2018,31-041,ORL,@,CHI,L (-10),1,33:48:00,2,9,0.222,0,5,0,4,4,1,1,2,3,2,0,0,3,3,8,1,-9
25382,32,32,23/12/2018,31-043,ORL,,MIA,L (-24),1,22:01,3,5,0.6,1,2,0.5,0,0,,0,1,1,2,1,0,3,5,7,2.4,-9
25382,33,33,26/12/2018,31-046,ORL,,PHO,L (-2),1,41:21:00,8,18,0.444,3,8,0.375,8,9,0.889,1,1,2,6,3,0,3,1,27,22,13
25382,34,34,28/12/2018,31-048,ORL,,TOR,W (+29),1,24:58:00,5,7,0.714,2,3,0.667,5,5,1,0,1,1,6,0,0,1,2,17,16.8,28
25382,35,35,30/12/2018,31-050,ORL,,DET,W (+2),1,37:35:00,6,11,0.545,4,7,0.571,10,10,1,1,1,2,8,2,0,1,2,26,27.5,6
25382,37,36,2/1/2019,31-053,ORL,@,CHI,W (+28),1,25:27:00,4,7,0.571,1,4,0.25,1,2,0.5,0,2,2,6,1,0,2,1,10,9.7,17
