num,links
96,http://www.mycareersfuture.sg/job/senior-mainframe-developer-st-integrated-engineering-abe7809d6ec1b58327147124dfd4f22f
97,http://www.mycareersfuture.sg/job/temp-staff-business-edge-personnel-services-dd4da17e3baace19316dacb25ab11594
98,http://www.mycareersfuture.sg/job/back-end-developer-tabsquare-5382fee9915c711d9883cc36081931e9
99,http://www.mycareersfuture.sg/job/product-management-manager-infosys-singapore-branch-5a6a897f5b324212cb197ec651ec26d7
100,http://www.mycareersfuture.sg/job/google-ads-ppc-account-manager-strategy-solutions-services-d50862159503640d7bd0a2e66b97476a
101,http://www.mycareersfuture.sg/job/research-fellow-nanyang-technological-university-ed9c059f40e446f9b3024f25a9735da0
102,http://www.mycareersfuture.sg/job/senior-programmatic-associate-tll-business-management-services-0dbd22586572e2e29e7ed9ca4cf764bd
103,http://www.mycareersfuture.sg/job/research-associate-nanyang-technological-university-fa7da9a0890dad33c17fff24db1c078c
104,http://www.mycareersfuture.sg/job/presales-specialist-sap-asia-d5f5b621187378d24d6464e8ff44a1b4
105,http://www.mycareersfuture.sg/job/project-officer-nanyang-technological-university-a9d36a3f375d290a0273dd973a63f795
106,http://www.mycareersfuture.sg/job/research-associate-nanyang-technological-university-93578cd79ab6ac78909854183aa73e5f
107,http://www.mycareersfuture.sg/job/quality-assurance-analyst-airbnb-singapore-ca7cc1f3f82f22b12588b6900afa0b75
108,http://www.mycareersfuture.sg/job/audit-consultant-cargill-asia-pacific-holdings-3e6549e566ec260efafa2dc7dc3041f2
109,http://www.mycareersfuture.sg/job/therapy-assistantrehabilitation-department-national-university-hospital-7efd318904d57220c1c058679bbd1444
110,http://www.mycareersfuture.sg/job/intergrated-business-planning-program-manager-cold-storage-singapore-1335144b0287287753e2e07b62729435
111,http://www.mycareersfuture.sg/job/assistant-qc-chemist-23k-26k-redhill-exp-glp-immediate-supreme-hr-advisory-9e946f5e0f0aadf454ec57dee79fbc60
112,http://www.mycareersfuture.sg/job/vp-application-lead-ibgt-to-dbs-bank-e9b2913ff34348ea780da762e56ce6f3
113,http://www.mycareersfuture.sg/job/avp-application-lead-ibgt-to-dbs-bank-dd5c453cd54c18dad21bc3b8f7d78460
114,http://www.mycareersfuture.sg/job/agency-ad-solution-sales-manager-kimberley-consulting-92fc51c327a0faec7aff2adb0bccc9bd
115,http://www.mycareersfuture.sg/job/senior-brand-ambassador-promopower-5b12fc7cfe7b7c3258f4b2732e9b9e98
116,http://www.mycareersfuture.sg/job/manager-mitsubishi-estate-asia-46e277e14a45e06c12b7672ca276562c
117,http://www.mycareersfuture.sg/job/web-developer-sg-based-ministry-football-4ad79a01cbd853424bad5d36b455cfc7
118,http://www.mycareersfuture.sg/job/mainframe-developer-alltech-systems-ff19893ee18c97392f47643777611fec
119,http://www.mycareersfuture.sg/job/mainframe-developer-st-integrated-engineering-bf31584428824ecab735dbb85255cdb6
120,http://www.mycareersfuture.sg/job/computer-engineer-st-integrated-engineering-ac4ae3b108b0b47df354c3d4199f630e
121,http://www.mycareersfuture.sg/job/senior-service-consultant-ca-ppm-hcl-singapore-4a22bc074a2cc078432724482ad6d504
122,http://www.mycareersfuture.sg/job/sales-admin-executive-machspeed-human-resources-1d7473b9f4a1e22ca3624a6b40fccea9
123,http://www.mycareersfuture.sg/job/contract-6-months-coordinator-machspeed-human-resources-e09df9d9928f43c7059bbac44d60c9a5
124,http://www.mycareersfuture.sg/job/key-account-manager-machspeed-human-resources-3616a755729c11c9a8608c846d939b95
125,http://www.mycareersfuture.sg/job/engineering-assistant-qa-machspeed-human-resources-2e2c81bf722fb8bb77870b6a3714bc89
126,http://www.mycareersfuture.sg/job/accounts-officer-machspeed-human-resources-6d1c3fb73acb43166dafd24a55f907e3
127,http://www.mycareersfuture.sg/job/credit-risk-senior-application-support-adecco-personnel-b0c32c93474eaae75db1a1dababa0cc0
128,http://www.mycareersfuture.sg/job/network-engineer-manager-capita-63b499fb59f35f7377f8917478f9d9fa
129,http://www.mycareersfuture.sg/job/support-adecco-personnel-ab846b8cc5140e3c3f25ed94d3753a9c
130,http://www.mycareersfuture.sg/job/mes-developer-capita-35e5b9cf8c234995a40f5deebe9d65c7
131,http://www.mycareersfuture.sg/job/department-lead-adecco-personnel-5c5ad447b1dbcedebd2c803e07616a16
132,http://www.mycareersfuture.sg/job/accountant-global-inno-food-70ecb46e19e868a502e172351084bd1f
133,http://www.mycareersfuture.sg/job/assistant-vice-president-sembcorp-industries-ea43396a05711e648cda67b9fee8eafc
134,http://www.mycareersfuture.sg/job/senior-android-developer-normal-company-06ff62451f5bb24959fb22f6ad4ddbde
135,http://www.mycareersfuture.sg/job/senior-ios-developer-normal-company-3288f79cd1fd627032e72e06650019c8
136,http://www.mycareersfuture.sg/job/software-quality-analyst-apar-technologies-06e83165188f090c4a9d73845a1590d1
137,http://www.mycareersfuture.sg/job/regional-communication-marketing-manager-jd-power-singapore-bdf6f6124ca156696cb2c189a3a62c03
138,http://www.mycareersfuture.sg/job/senior-technical-architect-circles-life-technology-faddb0b2644f010081acfee1e36cec1b
139,http://www.mycareersfuture.sg/job/technical-architect-circles-life-technology-a8aee15af14d439aa1357a8251529079
140,http://www.mycareersfuture.sg/job/manager-senior-manager-starcom-media-worldwide-a5e5622f1a9e2a9febec685f3ebd81d2
141,http://www.mycareersfuture.sg/job/clinical-psychologist-extraordinary-people-e63a5c4ba42b914b1ab773522173d564
142,http://www.mycareersfuture.sg/job/senior-executive-family-dispute-resolution-judiciary-supreme-court-a40ac94f9c6f27e8861ee32571a7550e
143,http://www.mycareersfuture.sg/job/assistant-sales-manager-yotel-singapore-orchard-road-937fbf0b2a0325106666807e7b7c6e1d
144,http://www.mycareersfuture.sg/job/network-consulting-engineer-cisco-international-singapore-branch-fcdc47cc257375455ec8a7f5a42e0951
145,http://www.mycareersfuture.sg/job/product-support-specialist-foodpanda-singapore-0a5a61f8673cef851f79fd49697a1fda
146,http://www.mycareersfuture.sg/job/group-executive-chef-rubato-abe9af094953f15f90d8509a93fa7930
147,http://www.mycareersfuture.sg/job/personal-assistant-senior-director-ministry-home-affairs-a3b6aecd1e1265fff1488fb6b3153171
148,http://www.mycareersfuture.sg/job/mechanical-technician-abbott-manufacturing-singapore-8986631245efb0c762d79e406105bfb7
149,http://www.mycareersfuture.sg/job/sales-executive-fu-yu-corporation-3105e54bde8ec71553ffd5748da4a8e3
150,http://www.mycareersfuture.sg/job/filenet-consultant-infostaq-solutions-28e34230ca9121e20da77bd5ca29c12c
